filename,actually_vulnerable,semgrep_found,type
BenchmarkTest00001.java,True,True,TP (True Positive)
BenchmarkTest00002.java,True,True,TP (True Positive)
BenchmarkTest00003.java,True,False,FN (False Negative)
BenchmarkTest00004.java,True,True,TP (True Positive)
BenchmarkTest00005.java,True,True,TP (True Positive)
BenchmarkTest00006.java,True,True,TP (True Positive)
BenchmarkTest00007.java,True,True,TP (True Positive)
BenchmarkTest00008.java,True,True,TP (True Positive)
BenchmarkTest00009.java,False,False,TN (True Negative)
BenchmarkTest00010.java,False,False,TN (True Negative)
BenchmarkTest00011.java,True,True,TP (True Positive)
BenchmarkTest00012.java,True,True,TP (True Positive)
BenchmarkTest00013.java,True,True,TP (True Positive)
BenchmarkTest00014.java,True,True,TP (True Positive)
BenchmarkTest00015.java,True,True,TP (True Positive)
BenchmarkTest00016.java,False,False,TN (True Negative)
BenchmarkTest00017.java,True,True,TP (True Positive)
BenchmarkTest00018.java,True,True,TP (True Positive)
BenchmarkTest00019.java,True,True,TP (True Positive)
BenchmarkTest00020.java,True,True,TP (True Positive)
BenchmarkTest00021.java,True,True,TP (True Positive)
BenchmarkTest00022.java,False,False,TN (True Negative)
BenchmarkTest00023.java,True,True,TP (True Positive)
BenchmarkTest00024.java,True,True,TP (True Positive)
BenchmarkTest00025.java,True,True,TP (True Positive)
BenchmarkTest00026.java,True,True,TP (True Positive)
BenchmarkTest00027.java,True,True,TP (True Positive)
BenchmarkTest00028.java,True,True,TP (True Positive)
BenchmarkTest00029.java,True,False,FN (False Negative)
BenchmarkTest00030.java,True,True,TP (True Positive)
BenchmarkTest00031.java,True,True,TP (True Positive)
BenchmarkTest00032.java,True,True,TP (True Positive)
BenchmarkTest00033.java,True,True,TP (True Positive)
BenchmarkTest00034.java,True,True,TP (True Positive)
BenchmarkTest00035.java,True,True,TP (True Positive)
BenchmarkTest00036.java,True,True,TP (True Positive)
BenchmarkTest00037.java,True,True,TP (True Positive)
BenchmarkTest00038.java,True,True,TP (True Positive)
BenchmarkTest00039.java,True,True,TP (True Positive)
BenchmarkTest00040.java,True,True,TP (True Positive)
BenchmarkTest00041.java,True,False,FN (False Negative)
BenchmarkTest00042.java,False,False,TN (True Negative)
BenchmarkTest00043.java,True,True,TP (True Positive)
BenchmarkTest00044.java,True,True,TP (True Positive)
BenchmarkTest00045.java,True,True,TP (True Positive)
BenchmarkTest00046.java,True,True,TP (True Positive)
BenchmarkTest00047.java,True,True,TP (True Positive)
BenchmarkTest00048.java,True,True,TP (True Positive)
BenchmarkTest00049.java,True,True,TP (True Positive)
BenchmarkTest00050.java,True,True,TP (True Positive)
BenchmarkTest00051.java,False,True,FP (False Positive)
BenchmarkTest00052.java,False,False,TN (True Negative)
BenchmarkTest00053.java,True,True,TP (True Positive)
BenchmarkTest00054.java,False,False,TN (True Negative)
BenchmarkTest00055.java,True,True,TP (True Positive)
BenchmarkTest00056.java,True,True,TP (True Positive)
BenchmarkTest00057.java,True,True,TP (True Positive)
BenchmarkTest00058.java,False,False,TN (True Negative)
BenchmarkTest00059.java,False,False,TN (True Negative)
BenchmarkTest00060.java,True,True,TP (True Positive)
BenchmarkTest00061.java,True,True,TP (True Positive)
BenchmarkTest00062.java,True,False,FN (False Negative)
BenchmarkTest00063.java,False,True,FP (False Positive)
BenchmarkTest00064.java,False,True,FP (False Positive)
